task,source_branch,source_dev,source_path,dest_path,file_sha,file_size,file_mode
discount-calculator,fan-dev,fan,tasks/fan/discount-calculator/preprocess/main.py,tasks/finalpool/discount-calculator/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/docs/agent_system_prompt.md,tasks/finalpool/email-campaign/docs/agent_system_prompt.md,b5571ff0b8b29deac98e697c5eb8e883a532f763,121,100644
email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/docs/task.md,tasks/finalpool/email-campaign/docs/task.md,bfb291790bbf84957f9ced0f353ddd041e3bc8fb,87,100644
email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/docs/user_system_prompt.md,tasks/finalpool/email-campaign/docs/user_system_prompt.md,d02fc5512ae724903ba89bd35ef57b57c49bbe72,49,100644
email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/evaluation/main.py,tasks/finalpool/email-campaign/evaluation/main.py,3ad9498d28802ad26a2c4cd8f7b3505e5f2e97c7,277,100644
email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/groundtruth_workspace/readme.txt,tasks/finalpool/email-campaign/groundtruth_workspace/readme.txt,b594bff06f50288d1372cf0b869d924290ce8e8d,36,100644
email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/preprocess/main.py,tasks/finalpool/email-campaign/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/docs/agent_system_prompt.md,tasks/finalpool/email-classification-system/docs/agent_system_prompt.md,7358c0e4978c668ea8560853448a9a467ca48530,134,100644
email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/docs/task.md,tasks/finalpool/email-classification-system/docs/task.md,ef4d26b7131794d13dd51596e0cd445fa291e7b9,113,100644
email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/evaluation/main.py,tasks/finalpool/email-classification-system/evaluation/main.py,d59a313242de93a2dab55afc2ece5a861adae329,290,100644
email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/groundtruth_workspace/readme.txt,tasks/finalpool/email-classification-system/groundtruth_workspace/readme.txt,1b84edb6030b5476891a6c0b2948996685c62344,49,100644
email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/initial_workspace/readme.txt,tasks/finalpool/email-classification-system/initial_workspace/readme.txt,7403c7b29cbc3b9db40503530736e3d49f9cfaea,50,100644
email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/preprocess/main.py,tasks/finalpool/email-classification-system/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/docs/agent_system_prompt.md,tasks/finalpool/error-tracker/docs/agent_system_prompt.md,7edfe1654a2825a42d61880372c0abd701fb5edf,120,100644
error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/docs/task.md,tasks/finalpool/error-tracker/docs/task.md,c405eeb6f1b98d809dbee2958bb85d3b061943d7,85,100644
error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/docs/user_system_prompt.md,tasks/finalpool/error-tracker/docs/user_system_prompt.md,98124156820c91c9ee809b9442a4b52138f46abc,48,100644
error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/evaluation/main.py,tasks/finalpool/error-tracker/evaluation/main.py,a5a871584aa65f2ffcbbe382c409baa16bdb3464,276,100644
error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/groundtruth_workspace/readme.txt,tasks/finalpool/error-tracker/groundtruth_workspace/readme.txt,889635f3d8493187c9551df574b31a6fe5ca5700,35,100644
expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/docs/agent_system_prompt.md,tasks/finalpool/expense-tracker/docs/agent_system_prompt.md,dd1527c8e113eecde97aee2560abefa0b84b47a3,122,100644
expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/docs/task.md,tasks/finalpool/expense-tracker/docs/task.md,2d04cc17877d1478cfc19a16b7027502b44e07dd,89,100644
expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/docs/user_system_prompt.md,tasks/finalpool/expense-tracker/docs/user_system_prompt.md,f33b43ddad7e3c94292f11ce252d3e8b94f347ee,50,100644
expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/evaluation/main.py,tasks/finalpool/expense-tracker/evaluation/main.py,aa44f7e511c249d1af973b84864d65f3783080b1,278,100644
expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/preprocess/main.py,tasks/finalpool/expense-tracker/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
feedback-collector,lv,lv,tasks/lv/feedback-collector/docs/agent_system_prompt.md,tasks/finalpool/feedback-collector/docs/agent_system_prompt.md,a2f93a5f687816bb7260a7df1eb8b3d0efcac228,125,100644
feedback-collector,lv,lv,tasks/lv/feedback-collector/docs/task.md,tasks/finalpool/feedback-collector/docs/task.md,0a80d28b35b96121a0fe41009bcfde09c8f16f08,95,100644
feedback-collector,lv,lv,tasks/lv/feedback-collector/docs/user_system_prompt.md,tasks/finalpool/feedback-collector/docs/user_system_prompt.md,1dcd2febfff0e0cf8983ea0d235a805020521ddb,53,100644
feedback-collector,lv,lv,tasks/lv/feedback-collector/evaluation/main.py,tasks/finalpool/feedback-collector/evaluation/main.py,987379d7c349b1082a48e3dcab79957f6ef6f684,281,100644
feedback-collector,lv,lv,tasks/lv/feedback-collector/initial_workspace/readme.txt,tasks/finalpool/feedback-collector/initial_workspace/readme.txt,fb367d1db387cabe5d03204fc154058af3d38565,41,100644
file-manager,ruige,ruige,tasks/ruige/file-manager/docs/agent_system_prompt.md,tasks/finalpool/file-manager/docs/agent_system_prompt.md,cbdafc0c1771b91fbb7d83108dbbde1fa740e2a6,119,100644
file-manager,ruige,ruige,tasks/ruige/file-manager/docs/task.md,tasks/finalpool/file-manager/docs/task.md,e47e4d2eb2cf76d40e429233889c96121cfdd1b9,83,100644
file-manager,ruige,ruige,tasks/ruige/file-manager/evaluation/main.py,tasks/finalpool/file-manager/evaluation/main.py,c2121537838967a339dac0eb02d379a68e783404,275,100644
file-manager,ruige,ruige,tasks/ruige/file-manager/initial_workspace/readme.txt,tasks/finalpool/file-manager/initial_workspace/readme.txt,39066d1c18ce88edd90983c9a399f868509f68a5,35,100644
follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/docs/agent_system_prompt.md,tasks/finalpool/follow-up-reminder/docs/agent_system_prompt.md,1179aefbab97d59e6d3630ee1156b159a023c167,125,100644
follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/docs/task.md,tasks/finalpool/follow-up-reminder/docs/task.md,793f1e2b6bbd40198ef47473d6b5a3b3b00d6fb4,95,100644
follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/docs/user_system_prompt.md,tasks/finalpool/follow-up-reminder/docs/user_system_prompt.md,da206470878d2fcd3036c98103e41374e8a00021,53,100644
follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/evaluation/main.py,tasks/finalpool/follow-up-reminder/evaluation/main.py,659cacbb0b821a3c19d3d60421adfda1dee7281d,281,100644
follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/groundtruth_workspace/readme.txt,tasks/finalpool/follow-up-reminder/groundtruth_workspace/readme.txt,e53072f4489925e86ab63e9139ac46ea57a95c5b,40,100644
form-builder,yuzhen-dev,yuzhen,tasks/yuzhen/form-builder/docs/agent_system_prompt.md,tasks/finalpool/form-builder/docs/agent_system_prompt.md,870eb246b060e8f27a0e88a6c2ddea1ba7926f47,119,100644
form-builder,yuzhen-dev,yuzhen,tasks/yuzhen/form-builder/docs/task.md,tasks/finalpool/form-builder/docs/task.md,c51655a9f857be1aa69df47713602e4bfc8910ff,83,100644
form-builder,yuzhen-dev,yuzhen,tasks/yuzhen/form-builder/evaluation/main.py,tasks/finalpool/form-builder/evaluation/main.py,b0d50f2cb2a54e4ae50220d09023200577f91886,275,100644
health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/docs/agent_system_prompt.md,tasks/finalpool/health-monitor/docs/agent_system_prompt.md,22489282fa01127b66b5ff8b5e67c1c4a50282b3,121,100644
health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/docs/task.md,tasks/finalpool/health-monitor/docs/task.md,c072e606de558f670e54b5cfba11f6846e2ff37a,87,100644
health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/evaluation/main.py,tasks/finalpool/health-monitor/evaluation/main.py,dee407e6636554a1af1f1be958fb1e310479553c,277,100644
health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/groundtruth_workspace/readme.txt,tasks/finalpool/health-monitor/groundtruth_workspace/readme.txt,a7dabb5a68422eec4a32fb28f031449eb1452b34,36,100644
health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/initial_workspace/readme.txt,tasks/finalpool/health-monitor/initial_workspace/readme.txt,3c1c546d8ed8101c995dd5beef9a4279623ed70c,37,100644
health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/preprocess/main.py,tasks/finalpool/health-monitor/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
help-desk,junteng_dev,junteng,tasks/junteng/help-desk/docs/agent_system_prompt.md,tasks/finalpool/help-desk/docs/agent_system_prompt.md,10fab205dbf151acc2d5e5539c84f74458aeb1f5,116,100644
help-desk,junteng_dev,junteng,tasks/junteng/help-desk/docs/task.md,tasks/finalpool/help-desk/docs/task.md,75b6b54d90fec686967b8824864756abd9b64ebd,77,100644
help-desk,junteng_dev,junteng,tasks/junteng/help-desk/docs/user_system_prompt.md,tasks/finalpool/help-desk/docs/user_system_prompt.md,fb10b29717704427fcd9ff27299698e5caba32c8,44,100644
help-desk,junteng_dev,junteng,tasks/junteng/help-desk/evaluation/main.py,tasks/finalpool/help-desk/evaluation/main.py,6e609f0e6240f62d22fdafc511fe6a28f115011b,272,100644
help-desk,junteng_dev,junteng,tasks/junteng/help-desk/groundtruth_workspace/readme.txt,tasks/finalpool/help-desk/groundtruth_workspace/readme.txt,a0b36c00abe7ca4450a5f92ee1329d23b3f83c83,31,100644
help-desk,junteng_dev,junteng,tasks/junteng/help-desk/preprocess/main.py,tasks/finalpool/help-desk/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/docs/agent_system_prompt.md,tasks/finalpool/image-processor/docs/agent_system_prompt.md,c738b9ebe133115b5536f7ee1d086218ca4e99b1,122,100644
image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/docs/task.md,tasks/finalpool/image-processor/docs/task.md,6f13328b1879ea0de0cceb14a4775d61b5116294,89,100644
image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/docs/user_system_prompt.md,tasks/finalpool/image-processor/docs/user_system_prompt.md,bbbda1442d34b6be91a733095116f343d5d66b90,50,100644
image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/evaluation/main.py,tasks/finalpool/image-processor/evaluation/main.py,1c088069188713e74fecccaa4f4e8f9eda7ab4f5,278,100644
image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/initial_workspace/readme.txt,tasks/finalpool/image-processor/initial_workspace/readme.txt,72e4d939567bf3e5f36df385066aece2b804c516,38,100644
image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/preprocess/main.py,tasks/finalpool/image-processor/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
inventory-management,jl_dev,jl,tasks/jl/inventory-management/docs/agent_system_prompt.md,tasks/finalpool/inventory-management/docs/agent_system_prompt.md,56ee0a61c68c7393f581f05b02679d4f20175b57,127,100644
inventory-management,jl_dev,jl,tasks/jl/inventory-management/docs/task.md,tasks/finalpool/inventory-management/docs/task.md,a07413add4206c0e0d6f49eb7a5d3839b3e124a7,99,100644
inventory-management,jl_dev,jl,tasks/jl/inventory-management/evaluation/main.py,tasks/finalpool/inventory-management/evaluation/main.py,640d0821929a5977933b153ba91aef0697bdfbb6,283,100644
inventory-management,jl_dev,jl,tasks/jl/inventory-management/groundtruth_workspace/readme.txt,tasks/finalpool/inventory-management/groundtruth_workspace/readme.txt,4cf94c012fe1cc5e30d03bf157626cb751008f88,42,100644
invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/docs/agent_system_prompt.md,tasks/finalpool/invoice-generator/docs/agent_system_prompt.md,c293d75e1e1356dbf45b01b624684863e7eac1b5,124,100644
invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/docs/task.md,tasks/finalpool/invoice-generator/docs/task.md,a474010b52142c80d6819c6fd3325ee1c3c6e1a9,93,100644
invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/evaluation/main.py,tasks/finalpool/invoice-generator/evaluation/main.py,3ee457d91f4bb51e4916a8c2da8f36bccf92f2b8,280,100644
invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/initial_workspace/readme.txt,tasks/finalpool/invoice-generator/initial_workspace/readme.txt,440f4424b1dd8fe42fe9b9482f1581305e383376,40,100644
load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/docs/agent_system_prompt.md,tasks/finalpool/load-balancer/docs/agent_system_prompt.md,1c2b01c2794000ece302b598364fe2aed79bf7f8,120,100644
load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/docs/task.md,tasks/finalpool/load-balancer/docs/task.md,7c0a385ca9ec28286b83140ca60494e2644753bd,85,100644
load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/evaluation/main.py,tasks/finalpool/load-balancer/evaluation/main.py,d052e55c9bf85e7a4d66d51f8d71b35cc728c4c5,276,100644
load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/preprocess/main.py,tasks/finalpool/load-balancer/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/docs/agent_system_prompt.md,tasks/finalpool/log-analyzer/docs/agent_system_prompt.md,787cac4c94488aadbcfd2a59973ff8cbce0a46c9,119,100644
log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/docs/task.md,tasks/finalpool/log-analyzer/docs/task.md,c1c6f84f9813037b551bb6e5d26670fd88ca316e,83,100644
log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/evaluation/main.py,tasks/finalpool/log-analyzer/evaluation/main.py,9f2e006a08d1d20ca406dd698cd2b826ce5263d9,275,100644
log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/initial_workspace/readme.txt,tasks/finalpool/log-analyzer/initial_workspace/readme.txt,beee2d168acd9fce94b7ff29254be4ce52684679,35,100644
log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/preprocess/main.py,tasks/finalpool/log-analyzer/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
loyalty-program,fan-dev,fan,tasks/fan/loyalty-program/docs/agent_system_prompt.md,tasks/finalpool/loyalty-program/docs/agent_system_prompt.md,6c9e7dd708db3ed0ba93a180ffb693a89b9f991c,122,100644
loyalty-program,fan-dev,fan,tasks/fan/loyalty-program/docs/task.md,tasks/finalpool/loyalty-program/docs/task.md,1eff915fadf6900d7f060735550efd4caa761051,89,100644
loyalty-program,fan-dev,fan,tasks/fan/loyalty-program/docs/user_system_prompt.md,tasks/finalpool/loyalty-program/docs/user_system_prompt.md,a1414b9adaee6d5acba9a8514e4dc8c10564d790,50,100644
loyalty-program,fan-dev,fan,tasks/fan/loyalty-program/evaluation/main.py,tasks/finalpool/loyalty-program/evaluation/main.py,54242173a188c09e6f0362bcb50a3c4c339b9c7f,278,100644
loyalty-program,fan-dev,fan,tasks/fan/loyalty-program/groundtruth_workspace/readme.txt,tasks/finalpool/loyalty-program/groundtruth_workspace/readme.txt,8b17eba8a7213fb60c29765fdadbcf31888f2928,37,100644
media-organizer,haoze,haoze,tasks/haoze/media-organizer/docs/agent_system_prompt.md,tasks/finalpool/media-organizer/docs/agent_system_prompt.md,c0a5ad88b861884791c55b2c7671d318355ff8c4,122,100644
media-organizer,haoze,haoze,tasks/haoze/media-organizer/docs/task.md,tasks/finalpool/media-organizer/docs/task.md,52a6dba3157fd7f40e795c0c91cb26732b2db55b,89,100644
media-organizer,haoze,haoze,tasks/haoze/media-organizer/docs/user_system_prompt.md,tasks/finalpool/media-organizer/docs/user_system_prompt.md,189aa16b1bc8edf27d079924430aa05298d7aba5,50,100644
media-organizer,haoze,haoze,tasks/haoze/media-organizer/evaluation/main.py,tasks/finalpool/media-organizer/evaluation/main.py,5c84a130d79f0efbd2051d8bacf8601f1354735e,278,100644
media-organizer,haoze,haoze,tasks/haoze/media-organizer/groundtruth_workspace/readme.txt,tasks/finalpool/media-organizer/groundtruth_workspace/readme.txt,312aa3e47102cc647bae8def3467cb912264ceda,37,100644
media-organizer,haoze,haoze,tasks/haoze/media-organizer/initial_workspace/readme.txt,tasks/finalpool/media-organizer/initial_workspace/readme.txt,7706b80b1b0d40c07b64292b2cc9b24fe83103af,38,100644
media-organizer,haoze,haoze,tasks/haoze/media-organizer/preprocess/main.py,tasks/finalpool/media-organizer/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
monitoring-agent,xiaochen_dev,xiaochen,tasks/xiaochen/monitoring-agent/docs/agent_system_prompt.md,tasks/finalpool/monitoring-agent/docs/agent_system_prompt.md,f1d59a5d391b5761835db741f6a942c01c27653a,123,100644
monitoring-agent,xiaochen_dev,xiaochen,tasks/xiaochen/monitoring-agent/docs/task.md,tasks/finalpool/monitoring-agent/docs/task.md,eece2322fe63c72a3c0ea9f1df8b434137c14e90,91,100644
monitoring-agent,xiaochen_dev,xiaochen,tasks/xiaochen/monitoring-agent/evaluation/main.py,tasks/finalpool/monitoring-agent/evaluation/main.py,3363334252f44878e898d7a4fae802dd6844e231,279,100644
monitoring-agent,xiaochen_dev,xiaochen,tasks/xiaochen/monitoring-agent/groundtruth_workspace/readme.txt,tasks/finalpool/monitoring-agent/groundtruth_workspace/readme.txt,34bcbbe1f6f6f96c42d98b8ceb2ad5eed4cd3200,38,100644
monitoring-agent,xiaochen_dev,xiaochen,tasks/xiaochen/monitoring-agent/preprocess/main.py,tasks/finalpool/monitoring-agent/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
network-analyzer,yuxuan-dev,yuxuan,tasks/yuxuan/network-analyzer/docs/agent_system_prompt.md,tasks/finalpool/network-analyzer/docs/agent_system_prompt.md,69f6a79bc99e06a3474d552900a8b1925a668d50,123,100644
network-analyzer,yuxuan-dev,yuxuan,tasks/yuxuan/network-analyzer/docs/task.md,tasks/finalpool/network-analyzer/docs/task.md,474295ab9a63e34b404e4fbf40458e2f8c388663,91,100644
network-analyzer,yuxuan-dev,yuxuan,tasks/yuxuan/network-analyzer/evaluation/main.py,tasks/finalpool/network-analyzer/evaluation/main.py,38306e8f69d42cb0c26a07c00ebeeb340b2b0ffd,279,100644
order-processor,junteng_dev,junteng,tasks/junteng/order-processor/docs/agent_system_prompt.md,tasks/finalpool/order-processor/docs/agent_system_prompt.md,551b26678450a3109da2f021331e5c7b47340e5c,122,100644
order-processor,junteng_dev,junteng,tasks/junteng/order-processor/docs/task.md,tasks/finalpool/order-processor/docs/task.md,80c3094dc46fd6277a3edc355ba369dff9908fea,89,100644
order-processor,junteng_dev,junteng,tasks/junteng/order-processor/evaluation/main.py,tasks/finalpool/order-processor/evaluation/main.py,d7be8a27076fd29d9800c597607bf995b0b4d3ca,278,100644
order-processor,junteng_dev,junteng,tasks/junteng/order-processor/initial_workspace/readme.txt,tasks/finalpool/order-processor/initial_workspace/readme.txt,9bc4c8c2f543a3e00f2aaf52d3cac3fc4d61a186,38,100644
payment-processor,yuzhen-dev,yuzhen,tasks/yuzhen/payment-processor/docs/agent_system_prompt.md,tasks/finalpool/payment-processor/docs/agent_system_prompt.md,2dac5ae1038b129bb721bfffbdf774822956de98,124,100644
payment-processor,yuzhen-dev,yuzhen,tasks/yuzhen/payment-processor/docs/task.md,tasks/finalpool/payment-processor/docs/task.md,7ab01099d715c4b3a643280464582fabfd590e32,93,100644
payment-processor,yuzhen-dev,yuzhen,tasks/yuzhen/payment-processor/docs/user_system_prompt.md,tasks/finalpool/payment-processor/docs/user_system_prompt.md,fadb1bca67b2a0e7869ca5302fa2d413386506ab,52,100644
payment-processor,yuzhen-dev,yuzhen,tasks/yuzhen/payment-processor/evaluation/main.py,tasks/finalpool/payment-processor/evaluation/main.py,7b815ec12ed6cd461921ec5d3f0293b21b16dace,280,100644
payment-processor,yuzhen-dev,yuzhen,tasks/yuzhen/payment-processor/groundtruth_workspace/readme.txt,tasks/finalpool/payment-processor/groundtruth_workspace/readme.txt,f0bbd0d0a6729357f09f78d2e4a809a66f481d55,39,100644
pdf-report-generator,jl_dev,jl,tasks/jl/pdf-report-generator/docs/agent_system_prompt.md,tasks/finalpool/pdf-report-generator/docs/agent_system_prompt.md,62db8dc075cda6da4f3f0c3fa8b373524d32211b,127,100644
pdf-report-generator,jl_dev,jl,tasks/jl/pdf-report-generator/docs/task.md,tasks/finalpool/pdf-report-generator/docs/task.md,2b55c6adc7323f8e45d313cffc30380c9ea53442,99,100644
pdf-report-generator,jl_dev,jl,tasks/jl/pdf-report-generator/docs/user_system_prompt.md,tasks/finalpool/pdf-report-generator/docs/user_system_prompt.md,1c02cf84b856db4600d16eacd13e06af26c73af7,55,100644
pdf-report-generator,jl_dev,jl,tasks/jl/pdf-report-generator/evaluation/main.py,tasks/finalpool/pdf-report-generator/evaluation/main.py,d81995c4d247dc1339c63c9babbd0c1fda79e1a8,283,100644
pdf-report-generator,jl_dev,jl,tasks/jl/pdf-report-generator/groundtruth_workspace/readme.txt,tasks/finalpool/pdf-report-generator/groundtruth_workspace/readme.txt,11350ab1898ef9b63e7ecba0d78fbdbbc8e44123,42,100644
pdf-report-generator,jl_dev,jl,tasks/jl/pdf-report-generator/initial_workspace/readme.txt,tasks/finalpool/pdf-report-generator/initial_workspace/readme.txt,62aa6c0fa7688557012af61025fa576a73c57812,43,100644
permission-manager,yuzhen-dev,yuzhen,tasks/yuzhen/permission-manager/docs/agent_system_prompt.md,tasks/finalpool/permission-manager/docs/agent_system_prompt.md,6ea4a757b1c5355e13fd8c60a1112a390ef734ee,125,100644
permission-manager,yuzhen-dev,yuzhen,tasks/yuzhen/permission-manager/docs/task.md,tasks/finalpool/permission-manager/docs/task.md,fc0d74d29fd77c1b941be474d7564842cdae8093,95,100644
permission-manager,yuzhen-dev,yuzhen,tasks/yuzhen/permission-manager/evaluation/main.py,tasks/finalpool/permission-manager/evaluation/main.py,30f2138eb459341c7f24a969ca6647c86084fb7d,281,100644
permission-manager,yuzhen-dev,yuzhen,tasks/yuzhen/permission-manager/initial_workspace/readme.txt,tasks/finalpool/permission-manager/initial_workspace/readme.txt,01a1d345896fa4f6daff621e073d14f082d718ef,41,100644
permission-manager,yuzhen-dev,yuzhen,tasks/yuzhen/permission-manager/preprocess/main.py,tasks/finalpool/permission-manager/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
personalization-service,lv,lv,tasks/lv/personalization-service/docs/agent_system_prompt.md,tasks/finalpool/personalization-service/docs/agent_system_prompt.md,a5a746fd57bd52ff20e8801bf6a32ed8e39d375a,130,100644
personalization-service,lv,lv,tasks/lv/personalization-service/docs/task.md,tasks/finalpool/personalization-service/docs/task.md,6bdbf2bd286948414a732205a502c9e06336ee2b,105,100644
personalization-service,lv,lv,tasks/lv/personalization-service/evaluation/main.py,tasks/finalpool/personalization-service/evaluation/main.py,75683b4a6baacc47daf8991e7a84e532dfd0be1e,286,100644
personalization-service,lv,lv,tasks/lv/personalization-service/preprocess/main.py,tasks/finalpool/personalization-service/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
price-tracker,fan-dev,fan,tasks/fan/price-tracker/docs/agent_system_prompt.md,tasks/finalpool/price-tracker/docs/agent_system_prompt.md,4d38c4f2c9daeea975f76e7f701d2d536c997d7e,120,100644
price-tracker,fan-dev,fan,tasks/fan/price-tracker/docs/task.md,tasks/finalpool/price-tracker/docs/task.md,66908fff5310e6ab65f9882c44cc71568715974e,85,100644
price-tracker,fan-dev,fan,tasks/fan/price-tracker/evaluation/main.py,tasks/finalpool/price-tracker/evaluation/main.py,b6c6f37202e826e8444fc223b6e82c7cc3e2d9c2,276,100644
price-tracker,fan-dev,fan,tasks/fan/price-tracker/groundtruth_workspace/readme.txt,tasks/finalpool/price-tracker/groundtruth_workspace/readme.txt,1617067aea180d556b21366e720b3e3c99b10f8b,35,100644
product-catalog,junteng_dev,junteng,tasks/junteng/product-catalog/docs/agent_system_prompt.md,tasks/finalpool/product-catalog/docs/agent_system_prompt.md,d3a114a3596772e5ac400dc35fdc29d4e96d365a,122,100644
product-catalog,junteng_dev,junteng,tasks/junteng/product-catalog/docs/task.md,tasks/finalpool/product-catalog/docs/task.md,c246972a18fef82bf5ab87e73b7e3dd4c0ddced1,89,100644
product-catalog,junteng_dev,junteng,tasks/junteng/product-catalog/docs/user_system_prompt.md,tasks/finalpool/product-catalog/docs/user_system_prompt.md,b8e7ce47c5fd73414624e52974ce17baefe827e3,50,100644
product-catalog,junteng_dev,junteng,tasks/junteng/product-catalog/evaluation/main.py,tasks/finalpool/product-catalog/evaluation/main.py,aa5ad4fee1fa6eb3248c4003f8848f3d6075344e,278,100644
product-catalog,junteng_dev,junteng,tasks/junteng/product-catalog/groundtruth_workspace/readme.txt,tasks/finalpool/product-catalog/groundtruth_workspace/readme.txt,15a9147f4513299969477158e87bf807f5edb214,37,100644
product-catalog,junteng_dev,junteng,tasks/junteng/product-catalog/preprocess/main.py,tasks/finalpool/product-catalog/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
qr-generator,junxian_dev,junxian,tasks/junxian/qr-generator/docs/agent_system_prompt.md,tasks/finalpool/qr-generator/docs/agent_system_prompt.md,8db26807ba38149e429f8f4aba83c8d011541d63,119,100644
qr-generator,junxian_dev,junxian,tasks/junxian/qr-generator/docs/task.md,tasks/finalpool/qr-generator/docs/task.md,2b426d9a7901bbf0d468d3f9fa22dafcf2cd008c,83,100644
qr-generator,junxian_dev,junxian,tasks/junxian/qr-generator/docs/user_system_prompt.md,tasks/finalpool/qr-generator/docs/user_system_prompt.md,e90d40478fd954df2b7c9548ce56895fd193881b,47,100644
qr-generator,junxian_dev,junxian,tasks/junxian/qr-generator/evaluation/main.py,tasks/finalpool/qr-generator/evaluation/main.py,c973acb75e915c0b66a0a8767c1759dc5874e61a,275,100644
qr-generator,junxian_dev,junxian,tasks/junxian/qr-generator/groundtruth_workspace/readme.txt,tasks/finalpool/qr-generator/groundtruth_workspace/readme.txt,c732c9722d42fe395597d1a58f4b14dae8ae4a85,34,100644
qr-generator,junxian_dev,junxian,tasks/junxian/qr-generator/preprocess/main.py,tasks/finalpool/qr-generator/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
reminder-service,junteng_dev,junteng,tasks/junteng/reminder-service/docs/agent_system_prompt.md,tasks/finalpool/reminder-service/docs/agent_system_prompt.md,e445c597a9e7a5d2de67a04579636694f3180d73,123,100644
